title,subtitle,product_url,asin,image_url,is_sponsored,price,rating
"Swiss Beauty Pure Matte Creamy Lipstick | Non-drying, Highly pigmented Lipstick | Shade- Café Mocha, 3.8gm|",same as title,"https://www.amazon.in/Swiss-Beauty-Matte-Lipstick-Mocha/dp/B087B49B5G/ref=sr_1_1_sspa?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic,aps,435&sr=8-1-spons&aref=mqHdyNVUak&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",B087B49B5G,https://m.media-amazon.com/images/I/415F1P7XXAL._AC_UL320_.jpg,True,₹172,4.0/5
"Lakme Forever Matte Lipstick, Waterproof, Non Drying, Creamy Matte Bullet Lipstick Made With French Rose Oil Extracts, Mauve Envy, 4.5g",same as title,"https://www.amazon.in/LAKMÉ-Cushion-Matte-Lipstick-Finish/dp/B09FKJFBT4/ref=sr_1_2_sspa?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic,aps,435&sr=8-2-spons&aref=CjdL2xzVgG&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",B09FKJFBT4,https://m.media-amazon.com/images/I/31t--KO2DUL._AC_UL320_.jpg,True,₹180,4.0/5
MARS Matte Muse Mousse Lipstick (3ml) (01-LEADING LADY) with Doe-Foot Applicator | Highly Pigmented | Smooth Texture | Hydrating Formula | Blurry Lips Effect,same as title,"https://www.amazon.in/MARS-01-LEADING-Applicator-Pigmented-Hydrating/dp/B0DQTLWYYV/ref=sr_1_3_sspa?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic,aps,435&sr=8-3-spons&aref=2zm0wUmhDA&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",B0DQTLWYYV,https://m.media-amazon.com/images/I/71Bcfw3ecpL._AC_UL320_.jpg,True,₹260,4.0/5
MARS Queen of Mattes Lipstick Valentine Gift Items Box Set (3 x 4.5 ml) (PLUMS & MAROONS) | Smudgeproof & Transferproof | Intense Swipe Pigmentation | Long-Lasting Wear,same as title,"https://www.amazon.in/MARS-MAROONS-Transferproof-Pigmentation-Long-Lasting/dp/B0DSKWSTGP/ref=sr_1_4_sspa?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic,aps,435&sr=8-4-spons&aref=yOwtan0gYS&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",B0DSKWSTGP,https://m.media-amazon.com/images/I/71HdsMYrSFL._AC_UL320_.jpg,True,₹407,4.4/5
"Blue Heaven Get Matte Lipstick, Long Lasting, Light Weight Lipsticks for Women, Moisturizing Matte Lipstick for Women - 202M, 4g",same as title,https://www.amazon.in/Blue-Heaven-Matte-Lipstick-202M/dp/B0CRZ728JX/ref=sr_1_5?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-5,B0CRZ728JX,https://m.media-amazon.com/images/I/41vn7VglRlL._AC_UL320_.jpg,False,₹94,4.1/5
"Maybelline New York Color Sensational Creamy Matte Lipstick lasts up to 12 Hours, Hydrate Lips, Rich Creamy Lipstick with Shea Butter, Available in 42 Shades - 507 Almond Pink, 3.9g",same as title,https://www.amazon.in/Maybelline-Sensational-Powder-Lipstick-Almond/dp/B078QB5DC7/ref=sr_1_6?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-6,B078QB5DC7,https://m.media-amazon.com/images/I/51jD170ZkGL._AC_UL320_.jpg,False,₹193,4.1/5
"FACESCANADA Comfy Matte Wow Liquid Lipstick - Cocoa Crush 07, 3.8Ml | One Swipe Application | Highly Pigmented | Comfortable Wear | Glides Smoothly | Long Lasting | Transferproof",same as title,https://www.amazon.in/FACES-CANADA-Comfy-Liquid-Lipstick/dp/B0D4F77ZLB/ref=sr_1_7?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-7,B0D4F77ZLB,https://m.media-amazon.com/images/I/6128ANXX0mL._AC_UL320_.jpg,False,₹229,4.2/5
"Blue Heaven Intense Matte Lipstick, Chocolate Swirl,307, 4g",same as title,https://www.amazon.in/Blue-Heaven-Intense-Lipstick-Chocolate/dp/B08M4C8CHN/ref=sr_1_8?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-8,B08M4C8CHN,https://m.media-amazon.com/images/I/61bQr89dQNL._AC_UL320_.jpg,False,₹74,3.7/5
"Lakme Powerplay Priming Matte Lipstick, Smooth Matte Finish, Lightweight Lipstick, Smudgeproof, Lasts 16hrs, Hydrates Lips, Pink Party, 3.6g",same as title,https://www.amazon.in/Powerplay-Lipstick-Lightweight-Smudgeproof-Hydrates/dp/B08N828TK7/ref=sr_1_9?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-9,B08N828TK7,https://m.media-amazon.com/images/I/511EHhcnpAL._AC_UL320_.jpg,False,₹253,4.0/5
"RENEE Very Matte Lipstick - Bare Mocha, Intense Color Pay Off, Full Coverage, Long Lasting & Weightless, Easy Glide Formula With Velvety Finish, Suitable for All Occasion, Ideal For Gifting",same as title,https://www.amazon.in/RENEE-Very-Matte-Lipstick-Weightless/dp/B0F4RG6V6J/ref=sr_1_10?crid=1UPZEIOSR28PW&dib=eyJ2IjoiMSJ9.UEw53yhaVFJXiA5LPFzTnEFzcY2v-EGtKdBv6LzJIPvcujo__TNYbridLeAJ5Z1ZcWUASBhsl9EA1LSl4d91cbsoUI6o19irI7mPZ4LEyAcasbR5XJXiSfj6dIi9orvXMAs7TKm_QyIffIQTjj7W-mZOUK1HF6In0gOF-TfktFmCyGJOWOvHn8syzQVddyqf2mdRXC4qkhH_zgcye-ooVwCtnuLSca2QWrKv43AfbHE0SzQ1bMv9er7ycvtLid673ui3DCH4pXS3oNRYAl3abD6sVnuWhTLIAnLmHZ_hO0Y.oGJL7N4bwMH8XLzHaMss_jCL7Z7OSheZzHbt61ZBRto&dib_tag=se&keywords=lipstick&qid=1770730019&sprefix=lipstic%2Caps%2C435&sr=8-10,B0F4RG6V6J,https://m.media-amazon.com/images/I/61VySG3-o9L._AC_UL320_.jpg,False,₹175,3.8/5
